Date/Time,yday,prcp (mm/day),srad (W/m^2),tmax (deg c),tmin (deg c),vp (Pa),Soil_pH,Clay Content %,Loam Content %,Sand Content %,Silt Content %,Yield
7/16/2020 0:00,1,0,0,23.48,23.31,835,5.6,8.34,28.53,71.47,20.19,0
7/17/2020 0:00,2,0,0,22.02,21.88,760,5.8,7.63,26.57,73.43,18.93,0
7/18/2020 0:00,3,0,0,22.31,22.16,884,5.8,8,27.54,72.46,19.56,0
7/19/2020 0:00,4,0,0,22.5,22.36,758.75,5.7,6.33,23,77,16.6,0
7/20/2020 0:00,5,0,0,22.4,22.25,793.3,5.7,6.61,23.71,76.28,17.11,0
7/21/2020 0:00,6,0.56,42,23.23,22.18,1204.58,5.7,7.2,25.3,74.7,18.12,0
7/22/2020 0:00,7,0.13,166.25,20.18,19.1,616.25,5.7,8.07,27.8,72.21,19.71,0
7/23/2020 0:00,8,0,178.71,21.6,20.4,492.91,5.7,7.4,25.85,74.15,18.5,0
7/24/2020 0:00,9,0,304.54,23.6,21.7,1210.83,5.8,7.16,25.24,74.75,18.1,0
7/25/2020 0:00,10,0,336.17,25.14,23.3,1512.08,5.7,5.22,19.84,80.15,14.62,0
7/26/2020 0:00,11,0,257.6,28.52,27.2,1817.91,5.75,8,27.5,72.5,19.53,0
7/27/2020 0:00,12,0.375,146.9,27.55,25.94,819.17,5.7,8.43,28.78,71.22,20.35,0
7/28/2020 0:00,13,0,336.1,26.05,24.57,1379.58,5.7,6.8,24.24,75.76,17.44,0
7/29/2020 0:00,14,0.26,202,22.4,20.3,743.3,5.6,7.8,27.1,73,19.26,0
7/30/2020 0:00,15,0.04,269.58,22,20,558.3,5.8,5.5,20.5,79.4,15.1,0
7/31/2020 0:00,16,0,291.6,23.5,22,1044.2,5.8,7.7,27,73.1,19.1,0
8/1/2020 0:00,17,0,328,25,23,1326.25,5.7,8.4,28.7,71.3,20.3,0
8/2/2020 0:00,18,1.525,52.54,21.42,20.6,290.83,5.7,6.5,23.42,76.57,17,0
8/3/2020 0:00,19,0.06,247,22,21,522.5,5.7,7.93,27.4,72.6,19.47,0
8/4/2020 0:00,20,0.93,40.33,19.35,19,116.67,5.6,6.34,23,77.02,16.63,0
8/5/2020 0:00,21,0.13,205.2,20.31,19,545.83,5.8,7.14,25.2,74.8,18,0
8/6/2020 0:00,22,0,316.7,20.36,18.76,907.5,5.8,8.04,27.72,72.27,19.67,0
8/7/2020 0:00,23,0,318.54,21,19.3,934.6,5.7,6.3,23,77.12,16.56,0
8/8/2020 0:00,24,0,323,22.36,20.7,1025.83,5.7,7.8,27.04,73,19.2,0
8/9/2020 0:00,25,0.083,93,20.84,19.8,301.67,5.7,7.25,25.51,74.5,18.25,0
8/10/2020 0:00,26,0.0083,240.25,22.7,21.5,427.1,5.7,7.03,25,75.1,17.8,0
8/11/2020 0:00,27,0.13,220.33,24.54,23.05,492.1,5.7,7.7,26.75,73.24,19,0
8/12/2020 0:00,28,0,308.54,24.36,23,1025.41,5.8,6.3,23,77.1,16.6,0
8/13/2020 0:00,29,0,310,24.28,22.7,1236.25,5.7,7.5,26.28,73.71,18.75,0
8/14/2020 0:00,30,0,309.54,22.66,21.15,1166.67,5.7,7.8,27,73,19.2,0
8/15/2020 0:00,31,0,313.83,22.23,20.73,1033.33,5.7,7,24.71,75.28,17.74,0
8/16/2020 0:00,32,0.85,232.46,21.4,20,574.17,5.7,7.4,26,74,18.53,0
8/17/2020 0:00,33,0.6,259,21.04,19.7,481.7,5.6,6.3,23,77.14,16.55,0
8/18/2020 0:00,34,0.03,237.17,19,17.24,558,5.8,7.26,25.53,74.46,18.27,0
8/19/2020 0:00,35,0,285.75,17.36,15.83,578,5.8,9,30.32,69.67,21.34,0
8/20/2020 0:00,36,0.017,122.9,16.02,14.8,429.58,5.7,6.8,24.2,75.8,17.41,0
8/21/2020 0:00,37,0.025,156.45,20.57,19.38,465,5.7,7.2,25.37,74.62,18.17,0
8/22/2020 0:00,38,0,290.2,22.06,20.7,864.58,5.7,6.35,23,77,16.64,0.24739344
8/23/2020 0:00,39,0.44,247,23.83,22.36,638.75,5.6,7.02,24.9,75.12,17.85,1.170445685
8/24/2020 0:00,40,0.75,214.12,22.72,21.42,356.25,5.7,9.45,31.62,68.37,22.2,2.851533112
8/25/2020 0:00,41,0,248.25,21.53,20.25,660.41,5.8,6.6,23.7,76.3,17.1,5.448649961
8/26/2020 0:00,42,0,270.41,15,13.56,619.58,5.76,7,24.76,75.24,17.77,7.140947691
8/27/2020 0:00,43,0.24,60.75,13,12.21,145.83,5.73,6.35,23.01,77,16.66,10.42566282
8/28/2020 0:00,44,0,253.37,17.8,16.6,490.83,5.7,6.8,24.24,75.76,17.44,12.51711197
8/29/2020 0:00,45,1.51,30.33,15.56,15,78,5.7,10.64,35,65.05,24.3,16.35771594
8/30/2020 0:00,46,0,263.58,16.77,15.42,494.58,5.7,6.3,22.82,77.17,16.54,16.35771594
8/31/2020 0:00,47,0,260,16.64,15,624.17,5.8,6.75,24.13,75.87,17.37,24.4313928
9/1/2020 0:00,48,0,140.54,19.54,18.42,470.83,5.7,6.46,23.3,76.7,16.85,24.4313928
9/2/2020 0:00,49,0.37,85.67,21.63,20.7,371.67,5.7,6.52,23.5,76.52,17,24.4313928
9/3/2020 0:00,50,0.05,255.75,20,18.4,586.67,5.7,11.16,36.4,63.6,25.23,24.4313928
9/4/2020 0:00,51,0.017,233.13,17.43,16,585.83,5.7,6.02,22.1,78,16.07,24.4313928
9/5/2020 0:00,52,0.058,265,15.27,13.5,477.1,5.6,6.5,23.36,76.64,17,24.4313928
9/6/2020 0:00,53,0,271.54,15.4,13.66,503,5.8,6.56,23.57,76.42,17.02,24.4313928
9/7/2020 0:00,54,0.06,117.41,18.6,17.45,462.1,5.8,6.2,22.53,77.47,16.34,24.4313928
9/8/2020 0:00,55,0.03,77.25,15.05,13.82,246.67,5.7,12.4,39.83,60.17,27.43,24.4313928
9/9/2020 0:00,56,0.19,51.75,14,13.5,105.41,5.7,5.6,21,79.02,15.35,24.4313928
9/10/2020 0:00,57,0.008,49.62,13.2,12.7,112.1,5.7,6.24,22.7,77.3,16.45,24.4313928
9/11/2020 0:00,58,0,229,13.05,11.34,385.83,5.6,6.7,24,76.07,17.24,24.4313928
9/12/2020 0:00,59,0,255.5,13.24,11.83,443.33,5.7,5.7,21.21,78.8,15.5,24.4313928
9/13/2020 0:00,60,0.3,45.5,17.31,16.57,251.67,5.8,11.51,37.36,62.63,25.85,24.4313928
9/14/2020 0:00,61,0,232.4,13.27,12.07,429.17,5.7,6.72,24.03,76,17.31,24.4313928
9/15/2020 0:00,62,0,152.75,9.52,8.4,308.75,5.7,6,22.03,78,16.03,24.4313928
9/16/2020 0:00,63,0,206,17.4,16.24,633.75,5.7,6.7,24,76.1,17.23,24.4313928
9/17/2020 0:00,64,0,226,13.06,11.72,414.17,5.7,5.24,20,80.1,14.67,24.4313928
9/18/2020 0:00,65,0,200.67,7.84,6.2,393,5.6,10.6,34.83,65.16,24.23,24.4313928
9/19/2020 0:00,66,0,245.75,8.1,6.45,430,5.8,8.54,29.1,70.89,20.55,24.4313928
9/20/2020 0:00,67,0,246,10.04,8.03,505,5.8,5.82,21.52,78.48,15.7,24.4313928
9/21/2020 0:00,68,0,227.2,9.53,7.8,522.1,5.7,6.48,23.4,76.6,17,24.4313928
9/22/2020 0:00,69,0,202.17,11.85,10.01,541.25,5.7,5,19,81.05,14.05,24.4313928
9/23/2020 0:00,70,0,223.17,17,15.5,594.6,5.7,9.32,31.27,68.72,22,24.4313928
9/24/2020 0:00,71,0.075,72.87,14.48,12.85,163.33,5.6,10.12,33.48,66.52,23.37,24.4313928
9/25/2020 0:00,72,0.025,150.8,14.1,13.13,519.17,5.7,5.61,21,79.05,15.33,24.4313928
9/26/2020 0:00,73,0,195.5,17,15.28,641.67,5.8,6.12,22.35,77.65,16.23,24.4313928
9/27/2020 0:00,74,0,129,20.48,19.25,578.75,5.8,4.81,18.72,81.28,14,24.4313928
9/28/2020 0:00,75,0,147.75,21.28,19.88,632.08,5.7,8.52,29.03,71,20.51,24.4313928
9/29/2020 0:00,76,0.42,82.83,18.4,17.56,376.25,5.7,11.31,36.81,63.2,25.5,24.4313928
9/30/2020 0:00,77,0.683,85.83,13.05,12.07,152.5,5.7,5.4,20.31,79.7,15,24.4313928
10/1/2020 0:00,78,0.033,145.71,13,11.47,251.67,5.7,5.7,21.27,78.73,15.54,24.4313928
10/2/2020 0:00,79,0.425,43,9.2,8.3,31.25,5.8,5,19.25,80.74,14.25,24.4313928
10/3/2020 0:00,80,0,93.83,7.03,5.71,160,5.7,8,27.45,72.55,19.5,24.4313928
10/4/2020 0:00,81,0.058,110.45,9.3,8.4,141.25,5.7,13,41.5,58.5,28.5,24.4313928
10/5/2020 0:00,82,0.1,62.83,10,9.23,80,5.7,5.15,19.66,80.34,14.51,24.4313928
10/6/2020 0:00,83,0,93.17,11.79,10.8,290.83,5.7,5.45,20.5,79.51,15.04,24.4313928
10/7/2020 0:00,84,0.375,73,13.06,11.61,258,5.6,5.58,21,79.12,15.28,24.4313928
10/8/2020 0:00,85,0.008,111.12,7,5.82,312.1,5.8,7,24.6,75.4,17.67,24.4313928
10/9/2020 0:00,86,0,68.33,7.42,5.87,326.67,5.8,14.1,44.52,55.47,30.44,24.4313928
10/10/2020 0:00,87,0,70.12,17.55,16.1,677.1,5.7,5.1,19.47,80.53,14.4,24.4313928
10/11/2020 0:00,88,0,86,7,5.8,361.25,5.7,5.4,20.3,79.7,14.92,24.4313928
10/12/2020 0:00,89,0,88,7.8,6.88,405.83,5.7,6.25,22.73,77.26,16.5,24.4313928
10/13/2020 0:00,90,0.53,19.3,10,9.4,50.83,5.6,5.65,21.05,79,15.4,24.4313928
10/14/2020 0:00,91,0.017,73.62,10,8.53,320.41,5.7,15.78,49.24,50.75,33.46,24.4313928
10/15/2020 0:00,92,0.24,41.21,12.2,11.27,305.41,5.8,5.28,20.02,80,14.74,24.4313928
10/16/2020 0:00,93,0.37,50.7,8.8,8.2,87.5,5.7,5.52,20.7,79.3,15.17,24.4313928
10/17/2020 0:00,94,0,179.4,6.74,5.02,298.75,5.7,6.65,23.85,76.14,17.19,24.4313928
10/18/2020 0:00,95,0,47.12,9.43,8.52,495.83,5.7,4.45,17.72,82.28,13.27,24.4313928
10/19/2020 0:00,96,0.22,22.12,8,7.33,144.58,5.7,13.68,43.41,56.6,29.73,24.4313928
10/20/2020 0:00,97,0.51,142.5,6.41,5.53,115.83,5.7,8.66,29.43,70.56,20.77,24.4313928
10/21/2020 0:00,98,0.583,18,8.82,7.23,81.67,5.8,5.66,21.08,79,15.42,24.4313928
10/22/2020 0:00,99,0,55.58,8.75,8,95.41,5.7,6.57,23.62,76.4,17.05,24.4313928
10/23/2020 0:00,100,0,0,10.2,10,120,5.8,5.4,20.34,79.66,15,24.4313928
